대장아이디,시군구,읍면동,리,지번,기타지번,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,취약지역유형,지정면적_제곱미터,대피장소,취약지역지정사유,지정일,"지정등급_A,B,C,D"
1280,하동군,청암면,상이리,산197임,,35,10,59.399,127,46,29.5,토석류,4569,나본마을회관,"본 조사대상지는 황폐화가 진행되고 있는 유역으로 계류내 퇴적물인 전석과 자갈이 퇴적되어 있으며,  좌측 계안이 3개소, 우측 계안이 1개소의 붕괴가 발생한 상태이며, 집중호우시 유량이 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임",2015-06-30,
1281,하동군,옥종면,회신리,산87임,,35,10,53.099,127,49,41.7,토석류,4442,양지마을회관,"계류내 기사방시설일부구간 파손정도 심하며, 계류상부 낙석위험성이 관측되는 등 계류황폐화가 우려되므로 취약지역으로 선정함.",2015-06-30,
1282,하동군,악양면,정서리,산12-1임,,35,10,17.299,127,41,37.5,토석류,5420,악양면종합복지회관,"유역면적이 120ha로 큰 유역으로 추후 강우시 유량이 많을 것으로 판단어지며, 범람이 우려되어 계류인근 경작지 및 하부인가에 피해가 우려되는 취약지역으로 선정함.",2015-06-30,
1283,하동군,화개면,부춘리,1198구,,35,10,26.299,127,39,21,토석류,3297,부덕보건진료소,"계안 침식으로 인한 측방으로 침식과 세굴현상이 진행 중이며 다수의 계안붕괴지가 분포하고 있음. 일부 구간에서는 토석류로 인해 전석 및 자갈, 모래 등이 많이 쌓여 있으며 강우에 의해 지반이 약해져 현재는 누구침식에서 구곡침식으로 발달되고 있는 과정으로 보여지고 있으며, 붕괴지 경우 추가적으로 산사태 및 토석류가 발생하여 하부 인가에 인명 및 재산 피해를 발생 시킬 수 있으므로 재해 예방사업을 진행 할 필요가 있음.",2015-06-30,
1284,하동군,악양면,신성리,산8-3과,,35,9,29.999,127,43,26.5,토석류,4755,성두마을회관,산 정상에서 계류하부까지 곡류의 형태로 인하여 침식과 세굴이 진행중이며 상부로 갈수록 유송잡물 및 퇴적물이 적치되어 있어 산사태 발생 시 피해도가 높을 것으로 사료됨.,2015-06-30,
1285,하동군,청암면,평촌리,934-4답,,35,9,42.299,127,47,53.5,토석류,3859,청암초등학교,"본 계류는 황폐화가 진행되고 있는 유역으로 계류내 퇴적물인 전석과 자갈이 퇴적되어 있으며,  좌측 계안이 3개소, 우측 계안이 2개소의 붕괴가 발생한 상태이며, 집중호우시 유량이 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임",2015-06-30,
1286,하동군,악양면,신성리,산8-3과,,35,9,25.899,127,43,27.9,토석류,3425,성두마을회관,"계류폭이 협소하며, 추후 강우시 경작지로 월류하여 매실재배지에 재산피해가 우려되며, 계류를 횡단하는 임도에 범람에 우려가 있으므로 취약지역으로 선정함.",2015-06-30,
1287,하동군,청암면,명호리,산211임,,35,8,45.699,127,46,27.6,토석류,4685,명사마을회관,"본 계류는 황폐화가 진행되고 있는 유역으로 계류내 퇴적물인 전석과 자갈이 퇴적되어 있으며,  좌측 계안이 1개소, 우측 계안이 1개소의 붕괴가 발생한 상태이며, 집중호우시 유량이 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임",2015-06-30,
1288,하동군,횡천면,전대리,산193-3임,,35,8,36.199,127,49,16.2,토석류,3317,전대마을회관,"본 계류는 황폐화가 진행되고 있는 유역으로 계류내 퇴적물인 전석과 자갈이 퇴적되어 있으며,  좌측 계안이 1개소, 우측 계안이 2개소의 붕괴가 발생한 상태이며, 집중호우시 유량이 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임",2015-06-30,
1289,하동군,청암면,명호리,1291답,,35,8,37.299,127,46,43.1,토석류,5544,명사마을회관,"본 계류는 황폐화가 진행되고 있는 유역으로 계류내 퇴적물인 전석과 자갈이 퇴적되어 있으며,  좌측 계안이 2개소, 우측 계안이 3개소의 붕괴가 발생한 상태이며, 집중호우시 유량이 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임",2015-06-30,
1290,하동군,청암면,명호리,산213-16임,,35,8,41.399,127,46,25.6,토석류,4186,명사마을회관,"본 계류는 황폐화가 진행되고 있는 유역으로 계류내 퇴적물인 전석과 자갈이 퇴적되어 있으며,  좌측 계안이 3개소, 우측 계안이 2개소의 붕괴가 발생한 상태이며, 집중호우시 유량이 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임",2015-06-30,
1291,하동군,악양면,축지리,산13-1임,,35,8,26.199,127,42,44.2,토석류,5832,소축마을회관,유출구와 하부로 과수원 인접하게 위치하며 하부에 쌓인 퇴적물로 인한 범람으로 피해를 입은 곳이 있으며 임도의 성토부에서 밀려온 토사로 인해 계안퇴적지가 발달되고 있음. 이로 인해 호우 시 퇴적지 붕괴가 발생하여 2차적인 피해를 입을 수 있다고 판단됨.,2015-06-30,
1292,하동군,북천면,서황리,산3임,,35,8,10.599,127,52,38.5,토석류,3863,화정보건진료소,"계류 양안으로 규모가 작은 붕괴가 존재하며, 계상내에 침식 및 세굴이 발견되어 강우시 확대가 예상되는 지역으로, 현 계류주변으로 경작지가 넓게 분포하고 있어 주변경작지에 월류될 가능성이 높아 계류보전을 통한 계류수의 원활한 흐름을 확보해야 할 필요성이 있는 지역으로 판단되어 취약지역으로 선정함",2015-06-30,
1293,하동군,횡천면,애치리,산146임,,35,8,3.699,127,50,3.7,토석류,3921,애치마을회관,계류상부 붕괴지로부터 토사유입이 확인되며 계류상부 다수의 퇴적물이 존재함. 계류상부퇴적물이 하부로 이동되어 하부인가 및 경작지에 피해가 우려되므로 취약지역으로 선정함.,2015-06-30,
1294,하동군,청암면,명호리,산111-2임,,35,7,42.099,127,47,30.2,토석류,3429,명사마을회관,"계류내 퇴적물인 전석과 자갈이 퇴적되어 있으며,  좌측 계안이 1개소, 우측 계안이 1개소의 붕괴가 발생한 상태이며, 집중호우시 유량이 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임",2015-06-30,
1295,하동군,적량면,동리,산112임,,35,7,22.999,127,46,38,토석류,4143,삼화보건진료소,"계류중상부 지점부터 상부로 세굴이 다수관측되며, 우안사면으로 연속적인 붕괴가 관측되며, 우안부로 붕괴확장이 예상됨. 계류황폐화가 우려되는 지역으로 취약지역으로 선정함.",2015-06-30,
1296,하동군,적량면,동리,산85임,,35,7,8.899,127,46,41.2,토석류,3764,삼화보건진료소,"계류 상부 양안으로 붕괴지가 다수관측되며, 계상퇴적물 분포비율이 높은 유역임. 추후 토석류발생가능성이 우려되는 유역으로 취약지역으로 선정함.",2015-06-30,
1297,하동군,적량면,동리,산63-1임,,35,6,55.599,127,46,27.3,토석류,4477,삼화보건진료소,"계안내 침식 및 세굴이 관측되며, 특히 밤재배지사면으로 지속적인 토사유실이 관측됨. 계류폭이 협소하고, 깊이가 낮아 추후 강우시 임도로 월류에 의한 피해가능성이 예상되므로 취약지역으로 선정함.",2015-06-30,
1298,하동군,적량면,동리,산1-0임,,35,6,43.899,127,46,56.2,토석류,2346,남산보건진료소,"계류 상부에서 하부로 좁아지는 협착부형태를 보이는 유역으로, 추후 강우시 계류폭이 협소하여 계류인근경작지로 범람하여 재산피해가 우려되므로 취약지역으로 선정함.",2015-06-30,
1299,하동군,고전면,성천리,산259임,,35,3,30.199,127,48,59.7,토석류,3279,남성마을회관,계류 내 퇴적물과 전석분포 비율이 높고 토석류나 산사태 발생 시 계류의 통수능 감소로 인해 하부에 위치한 인가 등에 피해가 우려됨. 또한 계류수가 상시 흐르는 등 붕괴 가능성 및 위험요소가 산재되어 있는 것으로 판단이 되며 산사태 및 토석류 발생 시 하류부에 위치한 인가 및 시설물에 피해가 있을 것으로 보임,2015-06-30,
1300,하동군,고전면,신월리,산49임,,35,2,41.93,127,47,30.124,토석류,3607,사막마을회관,"본 조사대상지는 계류로 세굴, 침식이 심하여 해당구간 경작지의 유실 및 주변 사면 붕괴가 진행 중으로 집중 호우 시 인근 경작지 및 하부 방향 인가 및 시설물에 피해야 예상되는 구간을 취약지역 구역으로 설정함",2015-06-30,
1301,하동군,고전면,대덕리,324-8잡,,35,0,46.699,127,48,48.6,산사태,4721,합진마을회관,"공장부지와 인접하고 있으며 현재 붕괴중에 있으며 본계류는 배수로 정비사업으로 인한 안정적으로 사료되나, 본계류 좌측편으로 붕죄가 다수 관찰되는 구간으로 위험요소가 많아 산지사방을 통한 안전을 확보하는 것이 좋을 것으로 판단됨.",2015-06-30,
1302,하동군,화개면,범왕리,산197임,,35,16,14.499,127,37,0,토석류,3968,범왕보건진료소,"대상지는 하부로 소하천으로 유입되기 전으로 인가를 통가하여 유입되고 있으며 여러 지류들이 있어 유량이 많아 배수시설이 필요하고, 퇴적물 발생이 되는 것으로 보아 유량이 증가할 때 토석류로 발전될 가능성이 높을 것으로 판단되며, 계류하류 부에 위치한 인가 및 시설물에 대한 피해를 예방할 수 있도록 계류보전이 필요하다 판단됨.",2015-06-30,
1303,하동군,화개면,용강리,산78임,,35,14,27.599,127,38,16.9,토석류,3293,모암마을회관,토석의와 유송잡물의 분포비율이 높고 자갈 등의 퇴적물이 지속적으로 유입되고 있는 상황으로 집중호우 시 계류 내 유량이 증가하면 계류 내에 분포되어있는 퇴적물들이 하부로 이동하여 붕괴지로 발전될 가능성이 있어 하부에 위치한 인가로의 인명 및 재산의 피해발생이 우려되므로 계류 양안의 침식을 막아줄 수 있는 계류보전이 필요하다고 판단됨.,2015-06-30,
1304,하동군,화개면,덕은리,산130-1임,,35,11,4.93,127,37,58.296,토석류,3273,영당마을회관,"계류의 좌,우측으로 감나무 및 녹차 밭으로 구성되어 있어 임상이 불완전한 산림구성으로 인해 토양의 긴박력이 부족할 것으로 판단되며 집중호우 시 전석 및 토석류가 하부인가에 직접적인 영향을 미칠 수 있을 것으로 사료되어 계류보전사업을 통한 안전을 확보하는 것이 좋을 것으로 판단됨.",2015-06-30,
1305,하동군,하동읍,흥룡리,1661답,,35,7,16.799,127,41,53,토석류,5092,하동병원,유출구와 최상부에 전석분포비율이 10% 이상으로 나타나며 계류 내 퇴적물들이 집중적으로 쌓여있는 구간들이 곳곳에 있으며 두 개 이상의 계류가 합류되어 집중호우 시 유량이 많을 것으로 생각됨. 또한 계류 양안으로 침식이 발달하였으며 사면으로부터 퇴적물들이 유입되고 있어 상부 인가로의 피해발생이 우려됨.,2015-06-30,
1306,하동군,하동읍,흥룡리,1755-2구,,35,6,52.199,127,42,5,토석류,6266,하동병원,"본 조사대상지는 계류내 다량의 퇴적물과 세굴에 의한 침식이 관찰되며, 유역 면적이 넓어 토석류 발생위험이 있으나 계류 폭이 협소하나 위험요소가 다수 존재하여 계류보전시설을 시공하여 퇴적물을 적치하기 위한 사방시설물 등을 시공하여 토석류로 인한 피해를 사전에 예방하는 것이 적절한 것으로 판단됨.",2015-06-30,
1307,하동군,적량면,우계리,산37임,,35,6,50.699,127,44,34.7,토석류,4795,우계보건진료소,"계류상부에서 하부로 좁아지는 협착부형태로 추후강우시 유출구주변 계류폭이 협소하여 상부에 다수의퇴적물이 하부로이동되어, 하부인가 및 경작지에 인적 및 재산피해가 우려되므로 취약지역으로 선정함.",2015-06-30,
1308,하동군,적량면,우계리,산41임,,35,6,51.899,127,44,40.1,토석류,2584,우계보건진료소,계류내 일부구간 세굴이 관측되며 추후 붕괴확장우려됨. 계류 인근 경작지가 넓게 분포하고 있어 추후 강우시 범람에 우려되므로 취약지역으로 선정함.,2015-06-30,
1309,하동군,북천면,직전리,산119임,,35,6,18.999,127,52,30.8,토석류,3109,북천청년회관,"계류 양안으로 규모가 작은 붕괴가 존재하며, 계상내에 침식 및 세굴이 발견되어 강우시 확대가 예상되는 지역으로, 현 계류주변으로 경작지가 넓게 분포하고 있어 주변경작지에 월류될 가능성이 높아 계류보전을 통한 계류수의 원활한 흐름을 확보해야 할 필요성이 있는 지역으로 판단되어 취약지역으로 선정함",2015-06-30,
1310,하동군,적량면,우계리,산118임,,35,6,14.299,127,45,41.1,토석류,3397,우계보건진료소,"계류경사가 급하여 유속이 빠를것으로 판단되며, 계류폭이 협소하여 계류인근 경작지 또는 유출구에 인접한 하부인가에 피해가 우려되므로 취약지역으로 선정함.",2015-06-30,
1311,하동군,하동읍,두곡리,1609-5구,,35,5,49.799,127,44,33.5,토석류,3493,하동병원,계류 내 퇴적물의 비율이 높고 토석류나 산사태 발생 시 계류의 통수능 감소로 인해 하부에 위치한 인가 등에 피해가 우려됨. 또한 계류수가 상시 흐르는 등 붕괴 가능성 및 위험요소가 산재되어 있는 것으로 판단이 되며 산사태 및 토석류 발생 시 하류부에 위치한 인가 및 시설물에 피해가 있을 것으로 보임,2015-06-30,
1312,하동군,횡천면,학리,1154-12구,,35,5,21.399,127,48,10.6,토석류,4969,마치마을회관,"본 계류는 황폐화가 진행되고 있는 유역으로 계류내 퇴적물인 전석과 자갈이 퇴적되어 있으며,  좌측 계안이 2개소, 우측 계안이 3개소의 붕괴가 발생한 상태이며, 집중호우시 유량이 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임",2015-06-30,
1313,하동군,양보면,감당리,산39임,,35,5,4.499,127,49,0.1,토석류,3647,상쌍마을회관,"계류상부 우안부로 계안붕괴지로 부터 토사유입이 관측되며, 계류폭이 협소하여, 추후 강우시 범람에 우려가 있어 취약지역으로 선정함.",2015-06-30,
1314,하동군,진교면,월운리,산113임,,35,4,50.499,127,52,46,토석류,3485,월운마을회관,계류보전사업이 시행된곳이나 일부구간 굽이치는곳에 마을방향으로 범람되어 지속적인 피해를 받고 있어 취약지역으로 선정함.,2015-06-30,
1315,하동군,횡천면,학리,산190임,,35,4,12.799,127,47,57.2,토석류,4041,구학마을회관,"조사대상 계류는 황폐화가 진행되고 있는 유역으로 계류내 퇴적물인 전석과 자갈이 퇴적되어 있으며,  좌측 계안이 1개소, 우측 계안이 1개소의 붕괴가 발생한 상태이며, 집중호우시 유량이 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임",2015-06-30,
1316,하동군,양보면,박달리,산58임,,35,4,14.999,127,52,1.7,토석류,2430,봉곡마을회관,"계류상부 일부구간 소규모 침식이 관측되고 있으며, 계류폭이 협소하여 추후 강우시 범람에 의한 인적 및 재산피해가 우려되므로 취약지역으로 선정함.",2015-06-30,
1317,하동군,하동읍,비파리,326답,,35,4,19.299,127,45,46,토석류,2840,하동초등학교,"본 조사대상지는 계류 내 침식 및 퇴적물이 관찰되며, 계류수가 상시 흐르고 있어 양안 사면의 세굴 및 토사 슬라이딩이 진행 중으로 집중 호우 시 하류부에 위치한 인가 및 시설물에 퇴적물로 인한 피해가 있을 것으로 판단되어 취약지역으로 선정함",2015-06-30,
1318,하동군,악양면,중대리,220-2답,,35,11,9.299,127,43,48,산사태,3081,하동학생 야영수련원,"과거 붕괴로 인해 도로 및 인가인접까지 피해발생 이력이 있으며 현재는 소단의 형식으로 산지사면을 보호를 하였으나 상태가 불량하며, 집중호우 시 장마철 토사 슬라이딩이 진행중으로 관찰됨.",2015-06-30,
1319,하동군,금남면,덕천리,산131-6,,34,59,26.535,127,50,41.095,토석류,0,덕포마을회관,계류 내 전석 및 퇴적물이 다수 적치되어 있으며 양측 사면에서 토사유출이 관찰되어 취약지역으로 선정이 필요함.,2021-03-18,
1320,하동군,악양면,동매리,143답,,35,11,31.459,127,43,27.068,토석류,1544.4,동매마을회관,조사지 주변 사면에서도 붕괴의 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었음. 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1321,하동군,악양면,동매리,47-2답,,35,11,31.499,127,43,25.6,산사태,320,동매마을회관,"집중 호우시 표층의 유실 및 붕괴, 붕괴지의 확장 등을 방지하기 위한 사방 시설물의 설치가 필요할 것으로 조사되었음",2014-10-28,
1322,하동군,악양면,매계리,산12-1임,,35,11,4.199,127,41,59.4,산사태,1093.2,매계마을회관,주변 사면에서도 붕괴의 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 상부에서 하부쪽으로 확장되어지는 형태의 사면으로 형성되어 있어 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1323,하동군,악양면,매계리,1014도,,35,10,51.374,127,42,4.203,토석류,356.4,매계마을회관,산사태 위험성은 없는 것으로 주민 의견 피력. 집중 호우시 토사 유출 및 유량 증가에 따른 퇴적물의 이동이 있는 것으로 확인됨에 따라 계류수의 이동 및 주민 불편을 최소화 할 수 있는 시설물의 설치가 필요할 것으로 판단됨,2014-10-28,
1324,하동군,악양면,중대리,808임,,35,10,39.499,127,43,40.1,산사태,400,하동학생 야영수련원,위험 사면에서의 붕괴 위험성 역시 매우 적은 것으로 확인되었으나 상부에서 하부쪽으로 확장되어지는 형태의 사면으로 형성되어 있어 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1325,하동군,악양면,정서리,산71-1임,,35,10,19.999,127,41,51.4,토석류,566.4,악양면종합복지회관,본 조사유역은 계류폭이 넓지 않으며 계류내 전석 분포 비율이 낮은 지역으로 주변 산지사면과의 경사가 완만한 실정임. 이 지역의 위험 사면에서 산사태 발생 등의 위험성은 낮은 상태이나 과거에 월류 현상에 의한 피해 발생 이력이 있음,2014-10-28,
1326,하동군,악양면,정서리,산43임,,35,10,24.999,127,42,18,토석류,835.2,악양면종합복지회관,조사지 주변 사면에서도 붕괴의 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1327,하동군,악양면,신흥리,산54임,,35,9,45.899,127,43,55.7,산사태,1400,상신흥마을회관,위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1328,하동군,악양면,평사리,632전,,35,9,25.699,127,41,6.8,토석류,568.8,상평마을회관,계안 침식지 및 사면에서의 붕괴 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1329,하동군,악양면,축지리,682답,,35,8,42.199,127,42,43.6,토석류,869.4,하신대마을회관,본 조사유역은 계류폭이 넓지 않으며 계류내 전석 분포 비율이 낮은 지역으로 주변 산지사면과의 경사가 완만한 실정임. 이 지역의 위험 사면에서 산사태 발생 등의 위험성은 낮은 상태이나 계상 및 계안 침식을 방지하기 위한 사방시설물의 설치가 필요할 것으로 판단됨,2014-10-28,
1330,하동군,악양면,축지리,632전,,35,8,42.862,127,42,38.219,토석류,620.8,하신대마을회관,위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 상부에서 하부쪽으로 확장되어지는 형태의 사면으로 형성되어 있어 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1331,하동군,악양면,축지리,1056구,,35,8,16.299,127,42,29.9,토석류,410.4,대축마을회관,평지 수준의 계류 경사를 나타내고 있으며 본 조사유역은 계류폭이 넓지 않으며 계류내 전석 분포 비율이 낮은 지역으로 주변 산지사면과의 경사가 완만한 실정임. 이 지역의 위험 사면에서 산사태 발생 등의 위험성은 낮은 상태이나 계상 및 계안 침식을 방지하기 위한 사방시설물의 설치가 필요할 것으로 판단됨,2014-10-28,
1332,하동군,악양면,미점리,63답,,35,8,12.814,127,42,12.147,산사태,300,미서마을회관,조사지 주변 사면에서도 붕괴의 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 상부에서 하부쪽으로 확장되어지는 형태의 사면으로 형성되어 있어 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1333,하동군,하동읍,두곡리,1610구,,35,5,13.499,127,44,55.9,토석류,820.8,화심마을회관,전반적인 계류 경사 및 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1334,하동군,고전면,성천리,1201 구,,35,3,50.599,127,48,43.6,토석류,2224.52,상성마을회관,계류 양안의 높이와 경사도는 낮으나 식생밀도가 낮아 토사가 유출되고 있으며 우기시 빗물에 의한 사면에서의 침식 및 계상에서의 세굴현상이 관찰되고 있으며 계류수가 항시 존재하고 우기시 유량이 많을 것으로 판단이 됨. 계류 내에 퇴적물 분포비율이 높고 계류수와 함께 퇴적물의 이동흔적이 관찰되어 토석류의 발생 가능성이 높은 것으로 판단됨,2014-10-28,
1335,하동군,양보면,장암리,산74-1도,,35,3,45.199,127,50,32.4,산사태,200,우성마을회관,주변 산지사면과의 경사가 완만한 실정으로 이 지역의 위험 사면에서 산사태 발생 등의 위험성은 낮은 상태이나 집중 호우 등과 같은 외부적인 요건에 의한 피해 저감을 위해 사방시설물의 설치가 필요할 것으로 판단됨,2014-10-28,
1336,하동군,진교면,고이리,1241-10구,,35,3,48.899,127,54,18.8,토석류,1288.19,고내마을회관,조사지 주변 사면에서도 붕괴의 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 상부에서 하부쪽으로 확장되어지는 형태의 사면으로 형성되어 있어 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1337,하동군,고전면,성천리,433임,,35,3,42.199,127,48,58.1,토석류,1264.8,상성마을회관,계류 양안의 높이와 경사도는 낮으나 식생밀도가 낮아 토사가 유출되고 있으며 우기시 빗물에 의한 사면에서의 침식 및 계상에서의 세굴현상이 관찰되고 있으며 계류수가 항시 존재하고 우기시 유량이 많을 것으로 판단이 됨. 계류 내에 퇴적물 분포비율이 높고 계류수와 함께 퇴적물의 이동흔적이 관찰되어 토석류의 발생 가능성이 높은 것으로 판단됨,2014-10-28,
1338,하동군,고전면,성천리,산271-2임,,35,3,33.799,127,48,56.8,토석류,1040,남성마을회관,조사지 주변 사면에서도 붕괴의 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 상부에서 하부쪽으로 확장되어지는 형태의 사면으로 형성되어 있어 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1339,하동군,고전면,신월리,1058-4도,,35,2,30.199,127,47,23.3,토석류,1107,신월마을회관,조사지 주변 사면에서도 붕괴의 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 상부에서 하부쪽으로 확장되어지는 형태의 사면으로 형성되어 있어 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1340,하동군,고전면,성천리,산151-8구,,35,2,19.199,127,48,37.6,토석류,1292.8,지소마을회관,계류 양안의 높이와 경사도는 낮으나 식생밀도가 낮아 토사가 유출되고 있으며 우기시 빗물에 의한 사면에서의 침식 및 계상에서의 세굴현상이 관찰되고 있으며 계류수가 항시 존재하고 우기시 유량이 많을 것으로 판단이 됨. 계류 내에 퇴적물 분포비율이 높고 계류수와 함께 퇴적물의 이동흔적이 관찰되어 토석류의 발생 가능성이 높은 것으로 판단됨,2014-10-28,
1341,하동군,고전면,신월리,293전,,35,1,28.099,127,47,28.8,토석류,668.8,시목마을회관,조사지 주변 사면에서도 붕괴의 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 상부에서 하부쪽으로 확장되어지는 형태의 사면으로 형성되어 있어 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1342,하동군,고전면,신월리,1464-5 구,,35,1,22.499,127,47,31.6,토석류,1150,노화마을회관,장기적으로 집중 호우 등과 같은 일시적인 유량 증가시 하류부에 피해가 발생될 수 있으므로 피해 저감 목적의 시설물의 설치로 하부 시설 및 인가에 피해가 발생되지 않도록 대책을 마련하는 것이 시급할 것으로 판단됨,2014-10-28,
1343,하동군,하동읍,두곡리,1346답,,35,6,3.999,127,43,53.6,토석류,1338.4,화심마을회관,주변 산지사면과의 경사가 완만한 실정으로 이 지역의 위험 사면에서 산사태 발생 등의 위험성은 낮은 상태이나 집중 호우 등과 같은 외부적인 요건에 의한 피해 저감을 위해 사방시설물의 설치가 필요할 것으로 판단됨,2014-10-28,
1344,하동군,진교면,월운리,500 구,,35,4,14.399,127,53,3.9,토석류,1358.28,갑정마을회관,조사지 주변 사면에서도 붕괴의 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 상부에서 하부쪽으로 확장되어지는 형태의 사면으로 형성되어 있어 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1345,하동군,하동읍,읍내리,1549도,,35,4,28.699,127,44,48.3,토석류,288,하동군보건소,조사지 주변 사면에서도 붕괴의 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 상부에서 하부쪽으로 확장되어지는 형태의 사면으로 형성되어 있어 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
1346,하동군,하동읍,비파리,882 구,,35,4,33.499,127,45,31.3,토석류,756,하동군보건소,계류 양안의 높이와 경사도는 낮으나 식생밀도가 낮아 토사가 유출되고 있으며 우기시 빗물에 의한 사면에서의 침식 및 계상에서의 세굴현상이 관찰되고 있으며 계류수가 항시 존재하고 우기시 유량이 많을 것으로 판단이 됨. 계류 내에 퇴적물 분포비율이 높고 계류수와 함께 퇴적물의 이동흔적이 관찰되어 토석류의 발생 가능성이 높은 것으로 판단됨,2014-10-28,
1347,하동군,적량면,고절리,산90임,,35,3,28.499,127,47,43.5,토석류,738,강선마을회관,본 조사유역은 계류폭이 넓지 않으며 계류내 전석 분포 비율이 낮은 지역으로 주변 산지사면과의 경사가 완만한 실정임. 이 지역의 위험 사면에서 산사태 발생 등의 위험성은 낮은 상태이나 계상 및 계안 침식을 방지하기 위한 사방시설물의 설치가 필요할 것으로 판단됨,2014-10-28,
1348,하동군,양보면,장암리,산253임,,35,4,15.299,127,48,56.5,산사태,637.6,중하쌍마을회관,조사지 주변 사면에서도 붕괴의 흔적은 거의 관측되지 않으며 위험 사면에서의 붕괴 위험성은 적은 것으로 확인되었으나 상부에서 하부쪽으로 확장되어지는 형태의 사면으로 형성되어 있어 집중 호우 등과 같은 외부적인 조건에 의한 표층 유실 및 붕괴 등의 피해가 우려됨,2014-10-28,
